Date,NIFTY_Close,NIFTY_High,NIFTY_Low,NIFTY_Open,Volume,Gold,Oil,USD_INR,India_VIX
2021-08-10,16280.099609375,16359.25,16202.25,16274.7998046875,288000,1728.800048828125,68.29000091552734,74.46620178222656,12.710000038146973
2021-08-11,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,1750.4000244140625,69.25,74.43550109863281,12.710000038146973
2021-08-12,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,1749.0,69.08999633789062,74.10299682617188,12.369999885559082
2021-08-13,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,1775.199951171875,68.44000244140625,74.26010131835938,12.989999771118164
2021-08-16,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,1786.9000244140625,67.29000091552734,74.216796875,13.460000038146973
2021-08-17,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,1785.0,66.58999633789062,74.13500213623047,13.40999984741211
2021-08-18,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,1781.5999755859375,65.45999908447266,74.364501953125,12.90999984741211
2021-08-20,16450.5,16509.55078125,16376.0498046875,16382.5,350800,1781.0,62.31999969482422,74.4292984008789,14.020000457763672
2021-08-23,16496.44921875,16592.5,16395.69921875,16592.25,275600,1803.199951171875,65.63999938964844,74.30149841308594,13.6899995803833
2021-08-24,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,1805.5999755859373,67.54000091552734,74.10590362548828,13.1899995803833
2021-08-25,16634.650390625,16712.44921875,16617.5,16654.0,265900,1788.199951171875,68.36000061035156,74.1447982788086,13.5
2021-08-26,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,1792.199951171875,67.41999816894531,74.0999984741211,13.539999961853027
2021-08-27,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,1816.5999755859373,68.73999786376953,74.15599822998047,13.40999984741211
2021-08-30,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,1809.0,69.20999908447266,73.49659729003906,13.31999969482422
2021-08-31,17132.19921875,17153.5,16915.849609375,16947.5,464400,1815.0,68.5,73.41120147705078,14.520000457763672
2021-09-01,17076.25,17225.75,17055.05078125,17185.599609375,301900,1813.0999755859373,68.58999633789062,72.99669647216797,14.1899995803833
2021-09-02,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,1808.699951171875,69.98999786376953,72.98509979248047,14.239999771118164
2021-09-03,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,1830.9000244140625,69.29000091552734,73.0542984008789,14.539999961853027
2021-09-06,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,1830.9000244140625,69.29000091552734,72.99449920654297,15.109999656677246
2021-09-07,17362.099609375,17436.5,17287.0,17401.55078125,243400,1795.9000244140625,68.3499984741211,73.11000061035156,14.899999618530272
2021-09-08,17353.5,17383.400390625,17254.19921875,17375.75,252700,1790.699951171875,69.30000305175781,73.3904037475586,14.40999984741211
2021-09-09,17369.25,17379.650390625,17302.69921875,17312.849609375,241500,1797.4000244140625,68.13999938964844,73.78900146484375,13.9399995803833
2021-09-13,17355.30078125,17378.349609375,17269.150390625,17363.55078125,241100,1792.0,70.44999694824219,73.52429962158203,14.029999732971191
2021-09-14,17380.0,17438.55078125,17367.05078125,17420.349609375,230400,1804.699951171875,70.45999908447266,73.54080200195312,13.579999923706056
2021-09-15,17519.44921875,17532.69921875,17386.900390625,17387.650390625,388200,1792.4000244140625,72.61000061035156,73.65080261230469,13.729999542236328
2021-09-16,17629.5,17644.599609375,17510.44921875,17539.19921875,503300,1754.5999755859375,72.61000061035156,73.43800354003906,14.40999984741211
2021-09-17,17585.150390625,17792.94921875,17537.650390625,17709.650390625,508300,1749.4000244140625,71.97000122070312,73.56490325927734,15.229999542236328
2021-09-20,17396.900390625,17622.75,17361.80078125,17443.849609375,339100,1761.800048828125,70.29000091552734,73.69609832763672,17.489999771118164
2021-09-21,17562.0,17578.349609375,17326.099609375,17450.5,363600,1776.0,70.55999755859375,73.65899658203125,16.520000457763672
2021-09-22,17546.650390625,17610.44921875,17524.0,17580.900390625,295200,1776.699951171875,72.2300033569336,73.7927017211914,16.489999771118164
2021-09-23,17822.94921875,17843.900390625,17646.55078125,17670.849609375,320500,1747.699951171875,73.30000305175781,73.8749008178711,16.600000381469727
2021-09-24,17853.19921875,17947.650390625,17819.400390625,17897.44921875,360100,1749.699951171875,73.9800033569336,73.83999633789062,16.920000076293945
2021-09-27,17855.099609375,17943.5,17802.900390625,17932.19921875,295700,1750.0,75.44999694824219,73.81289672851562,18.049999237060547
2021-09-28,17748.599609375,17912.849609375,17576.099609375,17906.44921875,398000,1735.800048828125,75.29000091552734,73.82530212402344,18.540000915527344
2021-09-29,17711.30078125,17781.75,17608.150390625,17657.94921875,562200,1721.5,74.83000183105469,74.16329956054688,18.84000015258789
2021-09-30,17618.150390625,17742.150390625,17585.349609375,17718.900390625,378600,1755.300048828125,75.02999877929688,74.3219985961914,18.399999618530277
2021-10-01,17532.05078125,17557.150390625,17452.900390625,17531.900390625,305800,1757.0,75.87999725341797,74.25440216064453,17.209999084472656
2021-10-04,17691.25,17750.900390625,17581.349609375,17615.55078125,295800,1766.199951171875,77.62000274658203,74.152099609375,16.739999771118164
2021-10-05,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,1759.5999755859375,78.93000030517578,74.57279968261719,16.399999618530273
2021-10-06,17646.0,17884.599609375,17613.150390625,17861.5,395800,1760.5,77.43000030517578,74.56320190429688,17.329999923706055
2021-10-07,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,1757.9000244140625,78.30000305175781,74.76000213623047,16.15999984741211
2021-10-08,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,1756.300048828125,79.3499984741211,74.83000183105469,15.649999618530272
2021-10-11,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,1754.5999755859375,80.5199966430664,75.30580139160156,16.09000015258789
2021-10-12,17991.94921875,18008.650390625,17864.94921875,17915.80078125,355600,1758.300048828125,80.63999938964844,75.40260314941406,15.850000381469728
2021-10-13,18161.75,18197.80078125,18050.75,18097.849609375,506700,1793.699951171875,80.44000244140625,75.48390197753906,16.100000381469727
2021-10-14,18338.55078125,18350.75,18248.69921875,18272.849609375,538700,1796.699951171875,81.30999755859375,75.3062973022461,15.770000457763672
2021-10-18,18477.05078125,18543.150390625,18445.30078125,18500.099609375,469900,1764.800048828125,82.44000244140625,75.00589752197266,17.18000030517578
2021-10-19,18418.75,18604.44921875,18377.69921875,18602.349609375,368200,1769.699951171875,82.95999908447266,75.2354965209961,17.3799991607666
2021-10-20,18266.599609375,18458.30078125,18209.349609375,18439.900390625,371300,1784.0999755859375,83.87000274658203,75.12010192871094,18.309999465942383
2021-10-21,18178.099609375,18384.19921875,18048.0,18382.69921875,365900,1781.199951171875,82.5,74.80919647216797,18.040000915527344
2021-10-22,18114.900390625,18314.25,18034.349609375,18230.69921875,324700,1795.5,83.76000213623047,74.86540222167969,17.549999237060547
2021-10-25,18125.400390625,18241.400390625,17968.5,18229.5,418700,1806.0,83.76000213623047,74.99369812011719,17.610000610351562
2021-10-26,18268.400390625,18310.44921875,18099.30078125,18154.5,341400,1792.699951171875,84.6500015258789,75.08989715576172,16.75
2021-10-27,18210.94921875,18342.05078125,18167.900390625,18295.849609375,335200,1797.9000244140625,82.66000366210938,74.88890075683594,16.829999923706055
2021-10-28,17857.25,18190.69921875,17799.44921875,18187.650390625,374200,1801.5999755859373,82.80999755859375,75.05000305175781,17.90999984741211
2021-10-29,17671.650390625,17915.849609375,17613.099609375,17833.05078125,336500,1783.0,83.56999969482422,74.79720306396484,17.43000030517578
2021-11-01,17929.650390625,17954.099609375,17697.099609375,17783.150390625,281200,1795.0999755859375,84.05000305175781,74.92829895019531,17.239999771118164
2021-11-02,17888.94921875,18012.25,17847.599609375,17970.900390625,296400,1788.699951171875,83.91000366210938,74.82990264892578,17.059999465942383
2021-11-03,17829.19921875,17988.75,17757.94921875,17947.94921875,331000,1763.5999755859375,80.86000061035156,74.71199798583984,16.1299991607666
2021-11-04,17916.80078125,17947.55078125,17900.599609375,17935.05078125,48500,1793.0,78.80999755859375,74.43550109863281,15.75
2021-11-08,18068.55078125,18087.80078125,17836.099609375,18040.19921875,338900,1827.4000244140625,81.93000030517578,74.19110107421875,16.34000015258789
2021-11-09,18044.25,18112.599609375,17983.05078125,18084.349609375,270200,1830.199951171875,84.1500015258789,73.91850280761719,16.0
2021-11-10,18017.19921875,18061.25,17915.0,17973.44921875,261400,1847.5999755859373,81.33999633789062,74.17479705810547,16.309999465942383
2021-11-11,17873.599609375,17971.349609375,17798.19921875,17967.44921875,232100,1863.199951171875,81.58999633789062,74.40489959716797,16.350000381469727
2021-11-12,18102.75,18123.0,17905.900390625,17977.599609375,249100,1867.9000244140625,80.79000091552734,74.32209777832031,15.220000267028809
2021-11-15,18109.44921875,18210.150390625,18071.30078125,18140.94921875,280400,1866.0999755859373,80.87999725341797,74.33999633789062,15.470000267028809
2021-11-16,17999.19921875,18132.650390625,17958.80078125,18127.05078125,267400,1853.5999755859373,80.76000213623047,74.43509674072266,15.199999809265137
2021-11-17,17898.650390625,18022.650390625,17879.25,17939.349609375,295700,1869.699951171875,78.36000061035156,74.45860290527344,14.979999542236328
2021-11-18,17764.80078125,17945.599609375,17688.5,17890.55078125,278400,1861.0,79.01000213623047,74.25980377197266,14.859999656677246
2021-11-22,17416.55078125,17805.25,17280.44921875,17796.25,356400,1806.0,76.75,74.30259704589844,17.520000457763672
2021-11-23,17503.349609375,17553.69921875,17216.099609375,17281.75,308800,1783.5,78.5,74.42980194091797,18.020000457763672
2021-11-24,17415.05078125,17600.599609375,17354.0,17550.05078125,298100,1784.0999755859375,78.38999938964844,74.4469985961914,17.100000381469727
2021-11-25,17536.25,17564.349609375,17351.69921875,17417.30078125,255900,1784.0999755859375,78.38999938964844,74.625,16.65999984741211
2021-11-26,17026.44921875,17355.400390625,16985.69921875,17338.75,356300,1785.300048828125,68.1500015258789,74.50579833984375,20.799999237060547
2021-11-29,17053.94921875,17160.69921875,16782.400390625,17055.80078125,348900,1782.300048828125,69.94999694824219,74.98159790039062,20.82999992370605
2021-11-30,16983.19921875,17324.650390625,16931.400390625,17051.150390625,498000,1773.5999755859375,66.18000030517578,75.05490112304688,21.170000076293945
2021-12-01,17166.900390625,17213.05078125,17064.25,17104.400390625,295500,1781.5999755859375,65.56999969482422,75.0509033203125,19.450000762939453
2021-12-02,17401.650390625,17420.349609375,17149.30078125,17183.19921875,279900,1760.699951171875,66.5,75.01789855957031,18.09000015258789
2021-12-03,17196.69921875,17489.80078125,17180.80078125,17424.900390625,292500,1782.0,66.26000213623047,74.9834976196289,18.450000762939453
2021-12-06,16912.25,17216.75,16891.69921875,17209.05078125,231700,1777.5,69.48999786376953,75.23400115966797,20.07999992370605
2021-12-07,17176.69921875,17251.650390625,16987.75,17044.099609375,254100,1782.5999755859375,72.05000305175781,75.39129638671875,18.459999084472656
2021-12-08,17469.75,17484.599609375,17308.94921875,17315.25,257800,1783.4000244140625,72.36000061035156,75.40859985351562,17.270000457763672
2021-12-09,17516.849609375,17543.25,17379.599609375,17524.400390625,237200,1774.5999755859375,70.94000244140625,75.38330078125,16.600000381469727
